City,Income_Lakhs,Age,Car_Age,Digital_Usage_Score,Attire,Cookware,Color_Pref,Hardware_Interest,Service_Interest,Annual_Spend,Switch_Intent
Bangalore,2.032987620860285,21,4,1,Casual,Cast Iron,Monochrome,None,Mobile Oil Change,36874.04452589877,0
Pune,2.1959685616351727,62,9,6,Western Formal,Smart Electric Pan,Vibrant,OBD,AC Clean,50708.303495968794,1
Pune,1.9653866895754644,43,6,3,Casual,Smart Electric Pan,Monochrome,None,None,41267.31868180612,1
Mumbai,1.338384546158619,45,3,8,Saree/Traditional,Traditional,Vibrant,Dashcam,AC Clean,30992.404705693163,1
Bangalore,0.3,49,0,6,Saree/Traditional,Smart Electric Pan,Monochrome,Battery Monitor,SOS,8490.545086210146,0
Hyderabad,0.7777815047804364,62,10,2,Western Formal,Cast Iron,Monochrome,OBD,SOS,28636.225560243278,1
Bangalore,1.1147768839353678,19,1,8,Western Formal,Traditional,Vibrant,Battery Monitor,None,23500.15577092974,1
Hyderabad,0.6636794102971135,48,9,5,Western Formal,Cast Iron,Monochrome,Battery Monitor,Mobile Oil Change,33328.27523245936,1
Mumbai,1.1162967147080574,20,9,8,Saree/Traditional,Traditional,Monochrome,OBD,AC Clean,31605.605417608043,1
Delhi,2.1660404812160277,25,3,8,Casual,Cast Iron,Vibrant,None,SOS,39778.61843461836,1
Pune,0.3,41,0,6,Casual,Smart Electric Pan,Pastel,None,AC Clean,5359.93437841078,1
Mumbai,2.287015233671416,32,14,2,Western Formal,Smart Electric Pan,Vibrant,Battery Monitor,SOS,60544.97845069644,1
Pune,0.1,60,12,8,Casual,Smart Electric Pan,Monochrome,None,AC Clean,45290.91228482301,1
Ahmedabad,1.3609300849666173,48,7,6,Casual,Cast Iron,Pastel,Dashcam,Mobile Oil Change,39497.213101374655,1
Delhi,0.7718300665555418,26,8,6,Western Formal,Traditional,Pastel,Battery Monitor,None,28517.826285332605,1
Delhi,0.6756297927051447,56,3,8,Western Formal,Traditional,Pastel,Battery Monitor,Mobile Oil Change,19628.847082204844,1
Mumbai,0.3,62,9,1,Saree/Traditional,Traditional,Vibrant,Battery Monitor,AC Clean,21646.94914070109,1
Delhi,2.230059288188632,19,2,2,Saree/Traditional,Smart Electric Pan,Pastel,Dashcam,SOS,36301.291816949815,0
Hyderabad,2.122566936044425,25,1,9,Saree/Traditional,Cast Iron,Pastel,Battery Monitor,SOS,39334.4675573661,1
Delhi,0.35622922285003067,24,4,8,Saree/Traditional,Traditional,Pastel,None,None,15759.128400781188,1
Pune,0.8684232030562791,61,13,7,Casual,Cast Iron,Monochrome,None,Mobile Oil Change,32972.353239719414,1
Pune,1.4598868615391452,68,2,7,Casual,Traditional,Vibrant,None,Mobile Oil Change,27973.812017519085,1
Pune,1.020294517096675,56,9,5,Saree/Traditional,Smart Electric Pan,Vibrant,None,Mobile Oil Change,32671.700830771424,1
Pune,0.3,59,6,2,Saree/Traditional,Cast Iron,Monochrome,Battery Monitor,SOS,18190.225060665278,1
Hyderabad,0.805336343666587,33,10,6,Western Formal,Traditional,Pastel,Dashcam,None,40584.28442196792,1
Bangalore,2.3706205788120114,52,5,10,Casual,Traditional,Monochrome,OBD,SOS,49692.36451738016,1
Ahmedabad,0.8460128457513335,47,0,3,Casual,Traditional,Monochrome,None,Mobile Oil Change,20249.588329638224,0
Mumbai,1.1019195979786758,27,11,4,Saree/Traditional,Traditional,Pastel,OBD,AC Clean,35870.114680245715,1
Pune,0.5128935455787715,55,7,10,Casual,Smart Electric Pan,Pastel,OBD,SOS,22427.03167919362,1
Delhi,1.5526577911702488,35,1,2,Western Formal,Traditional,Vibrant,Battery Monitor,None,25150.56513138341,0
Pune,1.26909107941475,67,4,2,Western Formal,Traditional,Pastel,None,Mobile Oil Change,28311.942612331528,1
Delhi,0.7547881550658129,22,8,8,Casual,Smart Electric Pan,Monochrome,None,AC Clean,27000.01438181654,1
Ahmedabad,0.417206762515545,46,7,8,Saree/Traditional,Traditional,Monochrome,None,SOS,17222.56213742742,1
Ahmedabad,2.0427260244065253,56,1,10,Casual,Cast Iron,Pastel,OBD,AC Clean,36510.05593153737,1
Ahmedabad,0.3,51,8,6,Western Formal,Cast Iron,Vibrant,None,AC Clean,17871.01808767021,1
Delhi,1.502289417353733,60,4,5,Saree/Traditional,Traditional,Monochrome,None,None,35081.828259792645,0
Pune,0.3,62,9,8,Casual,Smart Electric Pan,Pastel,Dashcam,SOS,25831.610931112737,1
Ahmedabad,1.6243270098074294,40,13,4,Saree/Traditional,Smart Electric Pan,Vibrant,Battery Monitor,None,47086.3308873321,1
Hyderabad,1.7821793323560364,22,5,4,Saree/Traditional,Smart Electric Pan,Vibrant,None,Mobile Oil Change,38700.06617450061,1
Delhi,1.8568702269839479,47,12,5,Western Formal,Traditional,Monochrome,None,AC Clean,49808.577718425164,1
Delhi,1.103274918858079,23,2,1,Saree/Traditional,Traditional,Monochrome,Battery Monitor,None,20392.54738213697,0
Pune,2.1504021633382173,63,12,1,Casual,Cast Iron,Vibrant,Battery Monitor,None,54131.01808485614,1
Delhi,2.584675016997641,61,2,2,Saree/Traditional,Smart Electric Pan,Vibrant,OBD,Mobile Oil Change,42163.23368151018,0
Delhi,1.007026118372422,21,9,8,Saree/Traditional,Traditional,Vibrant,OBD,SOS,36997.43140819118,1
Ahmedabad,0.9293969819220433,46,7,7,Casual,Traditional,Pastel,OBD,None,25983.46361926234,1
Pune,1.2895063562069613,40,10,10,Western Formal,Traditional,Monochrome,Battery Monitor,AC Clean,42953.52370520406,1
Ahmedabad,0.9133919124634757,23,9,9,Western Formal,Smart Electric Pan,Vibrant,Dashcam,AC Clean,34414.46604332021,1
Ahmedabad,0.8256778823939276,49,9,5,Casual,Smart Electric Pan,Monochrome,None,AC Clean,26371.444820919514,1
Pune,0.8779568758550942,59,14,2,Casual,Cast Iron,Monochrome,Battery Monitor,AC Clean,36786.0897872699,1
Mumbai,2.229453604803747,35,11,7,Western Formal,Smart Electric Pan,Monochrome,Dashcam,None,52760.16638612837,1
Ahmedabad,1.6631291970212592,32,1,8,Saree/Traditional,Traditional,Vibrant,Battery Monitor,AC Clean,28847.65791341962,1
Hyderabad,0.9114323236451454,57,10,7,Casual,Cast Iron,Pastel,Dashcam,None,34616.76422632243,1
Hyderabad,0.3,49,11,7,Saree/Traditional,Smart Electric Pan,Vibrant,Battery Monitor,SOS,24314.840637679023,1
Delhi,0.3,26,11,5,Casual,Smart Electric Pan,Monochrome,Battery Monitor,AC Clean,29207.38581747186,1
Hyderabad,1.5020574495611265,54,1,2,Western Formal,Smart Electric Pan,Vibrant,Dashcam,SOS,28304.209450341514,0
Delhi,0.3,27,12,6,Saree/Traditional,Smart Electric Pan,Vibrant,Dashcam,None,32203.25888079361,1
Mumbai,1.3757961164711734,37,4,4,Saree/Traditional,Traditional,Monochrome,Dashcam,Mobile Oil Change,21282.80617742671,1
Pune,0.5606617650809846,23,5,10,Casual,Smart Electric Pan,Monochrome,Dashcam,SOS,27254.431178291892,1
Pune,1.255083464748404,65,11,2,Saree/Traditional,Traditional,Vibrant,Dashcam,AC Clean,39924.415082833075,1
Pune,1.2383137808004856,20,1,9,Casual,Traditional,Vibrant,Dashcam,Mobile Oil Change,24116.605251927976,1
Hyderabad,1.2723539603344263,59,14,7,Western Formal,Traditional,Vibrant,Dashcam,SOS,46779.68793441494,1
Mumbai,0.9633468917528876,28,4,6,Saree/Traditional,Cast Iron,Vibrant,Dashcam,None,20086.45727444423,1
Hyderabad,0.9436286246353607,60,6,5,Casual,Traditional,Pastel,Battery Monitor,None,28033.703650637,1
Hyderabad,0.7675257486381368,34,9,3,Saree/Traditional,Smart Electric Pan,Vibrant,Dashcam,None,33748.71926888096,1
Mumbai,1.490335390345134,49,9,10,Casual,Cast Iron,Pastel,Dashcam,SOS,43017.10230683529,1
Mumbai,1.683115604868569,21,7,10,Casual,Smart Electric Pan,Monochrome,Battery Monitor,None,38501.44405345435,1
Mumbai,0.4686164864783242,21,11,4,Casual,Traditional,Pastel,Battery Monitor,SOS,23853.32719239016,1
Mumbai,1.1690229166246384,34,6,3,Western Formal,Smart Electric Pan,Monochrome,OBD,AC Clean,28653.272534646218,1
Pune,1.3179492440926428,58,7,8,Saree/Traditional,Cast Iron,Pastel,OBD,AC Clean,33337.15819386012,1
Bangalore,1.3102626807738251,36,13,3,Western Formal,Cast Iron,Monochrome,Dashcam,SOS,46361.66459347654,1
Bangalore,1.3000617717579106,22,11,7,Casual,Smart Electric Pan,Vibrant,Dashcam,SOS,46212.182798268565,1
Mumbai,0.9587791137928654,49,8,7,Casual,Smart Electric Pan,Pastel,OBD,Mobile Oil Change,32990.6411656187,1
Bangalore,1.3674182552775234,39,14,7,Western Formal,Smart Electric Pan,Pastel,OBD,None,48255.997348102304,1
Bangalore,1.570817226590172,23,4,7,Western Formal,Cast Iron,Monochrome,None,AC Clean,33164.66352259026,1
Mumbai,1.2846219934935386,52,12,2,Saree/Traditional,Traditional,Monochrome,None,AC Clean,41882.580652292665,1
Bangalore,1.5035639019202343,39,4,10,Casual,Smart Electric Pan,Pastel,Dashcam,Mobile Oil Change,30273.636631530273,1
Hyderabad,1.7942120466225042,18,10,3,Western Formal,Traditional,Monochrome,None,SOS,47919.97648566132,1
Delhi,0.3,37,9,10,Casual,Cast Iron,Vibrant,OBD,SOS,21457.548428299633,1
Delhi,1.7660783051192204,39,3,9,Casual,Smart Electric Pan,Pastel,Dashcam,Mobile Oil Change,38839.68103436095,1
Mumbai,1.4054566591327649,65,12,3,Saree/Traditional,Smart Electric Pan,Vibrant,Battery Monitor,None,42792.10851357569,1
Pune,0.5330248033567639,28,8,2,Saree/Traditional,Cast Iron,Pastel,Battery Monitor,SOS,25687.79935275843,1
Mumbai,1.681482529391813,30,4,9,Saree/Traditional,Smart Electric Pan,Vibrant,OBD,SOS,31602.429993528054,1
Pune,0.9610074563856229,59,13,10,Western Formal,Traditional,Pastel,None,None,44286.39069011187,1
Delhi,1.0428201382088682,20,1,9,Casual,Cast Iron,Monochrome,Battery Monitor,None,25129.8841821036,1
Mumbai,0.8953921305206027,26,14,4,Western Formal,Cast Iron,Pastel,None,Mobile Oil Change,36386.14958065762,1
Ahmedabad,1.3814393065429347,29,9,9,Western Formal,Smart Electric Pan,Vibrant,Battery Monitor,Mobile Oil Change,40181.078769776934,1
Hyderabad,0.7287881144927681,40,7,3,Saree/Traditional,Cast Iron,Pastel,None,Mobile Oil Change,25736.48013475531,1
Bangalore,1.7408847779686716,31,14,7,Casual,Smart Electric Pan,Vibrant,Battery Monitor,SOS,55264.875249868055,1
Pune,1.116682447683197,50,6,7,Casual,Smart Electric Pan,Vibrant,Battery Monitor,Mobile Oil Change,29331.57746259702,1
Ahmedabad,0.9814785099072375,35,7,8,Saree/Traditional,Cast Iron,Vibrant,Dashcam,SOS,28974.671692856067,1
Bangalore,1.651725406568382,66,11,10,Casual,Smart Electric Pan,Monochrome,Dashcam,AC Clean,49335.669936278806,1
Bangalore,1.0082659426085516,58,2,4,Saree/Traditional,Traditional,Pastel,OBD,None,21381.650921879016,1
Mumbai,1.7689060952173805,26,14,3,Western Formal,Traditional,Vibrant,Battery Monitor,None,51051.376688713186,1
Bangalore,1.7877557705045195,40,14,3,Western Formal,Smart Electric Pan,Monochrome,None,AC Clean,500000.0,1
Hyderabad,0.3991176970686138,27,3,5,Saree/Traditional,Traditional,Vibrant,Battery Monitor,Mobile Oil Change,17020.892621418006,1
Ahmedabad,1.8655561213337544,36,4,1,Western Formal,Smart Electric Pan,Pastel,None,SOS,35906.34808712131,0
Bangalore,0.3227784170988687,64,5,10,Western Formal,Traditional,Monochrome,None,SOS,11026.562702484825,1
Mumbai,1.9029483161295064,22,0,3,Saree/Traditional,Cast Iron,Vibrant,Battery Monitor,SOS,33396.757916999515,0
Hyderabad,2.417014315338143,64,3,6,Western Formal,Smart Electric Pan,Vibrant,None,None,42263.78557004828,1
Delhi,1.724900662961479,69,10,3,Casual,Smart Electric Pan,Vibrant,OBD,Mobile Oil Change,45273.7309132118,1
Ahmedabad,0.3,40,11,5,Western Formal,Smart Electric Pan,Pastel,Dashcam,SOS,27424.592837403092,1
Bangalore,1.8381394316316109,47,9,9,Saree/Traditional,Smart Electric Pan,Monochrome,None,SOS,42921.041147690776,1
Mumbai,2.5476773795616072,42,12,2,Casual,Smart Electric Pan,Monochrome,Battery Monitor,SOS,59748.75317086493,1
Delhi,1.0181810154011823,45,4,2,Casual,Smart Electric Pan,Monochrome,Dashcam,AC Clean,27225.43750801963,1
Delhi,1.179178007982066,51,6,6,Western Formal,Cast Iron,Vibrant,OBD,SOS,34155.74830773617,1
Pune,0.4869079668441407,62,12,6,Casual,Cast Iron,Monochrome,None,AC Clean,30432.541762012104,1
Hyderabad,1.3872476512918015,65,4,8,Saree/Traditional,Traditional,Vibrant,None,SOS,33356.216144670354,1
Bangalore,1.9615063095258773,64,12,2,Casual,Smart Electric Pan,Pastel,Dashcam,SOS,54365.16950176729,1
Mumbai,1.6186422768896722,42,12,9,Western Formal,Traditional,Monochrome,None,SOS,51869.13848182346,1
Pune,3.0851801863726793,27,0,2,Western Formal,Traditional,Vibrant,Battery Monitor,AC Clean,43639.62651314179,0
Hyderabad,1.2198162257794782,31,10,1,Casual,Cast Iron,Monochrome,Dashcam,SOS,41620.69419741061,1
Pune,0.3,59,6,10,Saree/Traditional,Traditional,Monochrome,Dashcam,Mobile Oil Change,17908.47202103267,1
Ahmedabad,1.3025825829409314,63,7,2,Saree/Traditional,Cast Iron,Pastel,None,SOS,33266.74927238161,0
Hyderabad,0.3,47,12,7,Western Formal,Traditional,Monochrome,OBD,AC Clean,27846.157592856416,1
Hyderabad,0.8801376450812918,58,6,8,Western Formal,Smart Electric Pan,Pastel,OBD,AC Clean,27891.348061687426,1
Bangalore,2.1746292351601273,42,10,5,Saree/Traditional,Traditional,Monochrome,OBD,Mobile Oil Change,50026.64534551895,1
Hyderabad,1.3950801891790627,31,13,6,Casual,Cast Iron,Monochrome,OBD,None,46050.83405810753,1
Pune,1.3076500876987611,52,12,1,Casual,Cast Iron,Monochrome,Dashcam,Mobile Oil Change,42163.022851538895,1
Hyderabad,2.2924682260292135,69,14,6,Casual,Cast Iron,Monochrome,Dashcam,Mobile Oil Change,65660.97032519472,1
Bangalore,1.037640065001978,65,3,8,Casual,Traditional,Monochrome,None,AC Clean,27476.386412050742,1
Bangalore,1.9570922477604653,51,7,3,Saree/Traditional,Traditional,Monochrome,OBD,SOS,46620.042772744964,1
Ahmedabad,1.2775841850998042,27,14,1,Western Formal,Cast Iron,Pastel,OBD,SOS,47369.71950028373,1
Pune,1.4280284780754158,52,4,4,Western Formal,Smart Electric Pan,Pastel,None,None,35760.45325876622,1
Delhi,0.46961708648219225,28,9,1,Casual,Smart Electric Pan,Vibrant,None,None,22773.833588781195,1
Delhi,0.9107719231030698,28,8,8,Saree/Traditional,Traditional,Monochrome,None,None,30788.274305677187,1
Hyderabad,0.3614890602936759,38,11,5,Saree/Traditional,Traditional,Pastel,Battery Monitor,None,26625.507072918736,1
Ahmedabad,1.1428529530647928,38,11,1,Casual,Cast Iron,Monochrome,None,Mobile Oil Change,37159.40201897828,1
Mumbai,1.4342414063497602,39,9,8,Casual,Traditional,Monochrome,None,Mobile Oil Change,36604.958960700664,1
Hyderabad,0.5339771369451287,62,4,9,Casual,Traditional,Pastel,Battery Monitor,SOS,19603.93941897891,1
Ahmedabad,2.4295073536108935,24,0,10,Western Formal,Cast Iron,Monochrome,OBD,Mobile Oil Change,41930.77537751877,1
Pune,1.3668636114551764,34,11,2,Casual,Cast Iron,Pastel,Dashcam,SOS,40330.73383087258,1
Pune,1.2346773513511315,19,8,9,Western Formal,Traditional,Pastel,OBD,SOS,31248.13835904835,1
Pune,1.661794650807375,29,11,8,Saree/Traditional,Smart Electric Pan,Vibrant,Dashcam,SOS,47991.21147623793,1
Pune,0.7026431514804468,59,4,7,Saree/Traditional,Traditional,Vibrant,Dashcam,SOS,16655.527011364167,1
Pune,1.2980864875004718,35,5,3,Western Formal,Smart Electric Pan,Vibrant,None,AC Clean,30953.230572768734,1
Ahmedabad,0.7698802677854453,28,3,2,Western Formal,Smart Electric Pan,Vibrant,None,SOS,18106.138918394052,0
Ahmedabad,0.1,33,5,7,Western Formal,Smart Electric Pan,Monochrome,Battery Monitor,Mobile Oil Change,44480.23557088378,1
Bangalore,0.5648163903617511,66,11,5,Western Formal,Cast Iron,Monochrome,OBD,Mobile Oil Change,27089.13583572971,1
Delhi,1.2378992755843041,68,7,6,Casual,Cast Iron,Vibrant,OBD,Mobile Oil Change,37353.240430329766,1
Pune,1.3975894710910652,35,2,4,Saree/Traditional,Cast Iron,Pastel,Dashcam,Mobile Oil Change,26674.4696539888,0
Mumbai,1.4368954466446207,52,4,2,Casual,Traditional,Pastel,None,AC Clean,26810.71973523792,0
Ahmedabad,0.8512588961503007,43,1,9,Western Formal,Cast Iron,Pastel,None,None,19907.808388831414,1
Mumbai,0.6626943587129414,33,13,3,Casual,Cast Iron,Pastel,OBD,None,34833.62153897526,1
Mumbai,0.8599228961723405,23,1,7,Casual,Traditional,Monochrome,Battery Monitor,SOS,23009.594461422545,1
Mumbai,1.5169952605261694,61,12,8,Saree/Traditional,Traditional,Pastel,None,SOS,45896.3055334285,1
Bangalore,1.1136925374528217,60,6,2,Casual,Smart Electric Pan,Pastel,Battery Monitor,Mobile Oil Change,24562.78774736624,1
Ahmedabad,1.6777252850715128,64,9,6,Saree/Traditional,Traditional,Vibrant,OBD,Mobile Oil Change,44633.919408904636,1
Mumbai,1.4862022316370438,64,12,8,Western Formal,Traditional,Pastel,OBD,None,50129.711081965586,1
Pune,0.3,65,9,7,Casual,Cast Iron,Monochrome,Battery Monitor,None,30468.907127266903,1
Hyderabad,1.3484986781023265,59,13,3,Western Formal,Smart Electric Pan,Pastel,None,Mobile Oil Change,55083.31670964236,1
Mumbai,2.550272860689762,29,10,1,Saree/Traditional,Smart Electric Pan,Pastel,OBD,SOS,51997.94754267693,1
Bangalore,1.9951614306229986,30,9,6,Western Formal,Traditional,Monochrome,Dashcam,AC Clean,48121.70855242282,1
Ahmedabad,1.4532078964241812,21,5,8,Western Formal,Cast Iron,Vibrant,OBD,AC Clean,30265.480216290587,1
Bangalore,0.5643647217180336,56,3,6,Saree/Traditional,Cast Iron,Monochrome,None,None,15523.31946362905,1
Mumbai,1.4865322296753876,19,4,5,Western Formal,Cast Iron,Vibrant,Dashcam,None,38929.71467199336,1
Ahmedabad,1.6438499639269553,43,0,8,Western Formal,Cast Iron,Pastel,OBD,None,25398.61547516807,1
Hyderabad,1.0477519915034497,44,6,2,Western Formal,Traditional,Vibrant,None,AC Clean,27250.425841044245,0
Mumbai,1.3900452352826624,44,7,1,Casual,Cast Iron,Vibrant,None,AC Clean,32108.094539058846,0
Bangalore,2.1057974750376243,32,8,1,Western Formal,Smart Electric Pan,Vibrant,OBD,Mobile Oil Change,43377.07486087955,0
Delhi,0.6856353481549645,25,7,4,Saree/Traditional,Smart Electric Pan,Pastel,None,SOS,29862.900229354225,1
Pune,0.5650202370245239,24,4,6,Casual,Traditional,Vibrant,Battery Monitor,None,13457.531439930837,1
Bangalore,1.6156195955965276,64,2,9,Casual,Cast Iron,Vibrant,Dashcam,Mobile Oil Change,31186.75271898584,1
Ahmedabad,1.474525581718848,63,9,1,Saree/Traditional,Cast Iron,Pastel,Battery Monitor,AC Clean,38981.77334835222,1
Mumbai,1.817302977247687,57,10,1,Western Formal,Cast Iron,Monochrome,OBD,Mobile Oil Change,45560.39499252349,1
Pune,1.5418762871422618,29,8,5,Casual,Cast Iron,Monochrome,Battery Monitor,AC Clean,38581.01778194111,1
Mumbai,0.8593469620954837,30,14,10,Casual,Traditional,Monochrome,OBD,SOS,46933.23318218536,1
Ahmedabad,1.4593155908792428,60,5,5,Casual,Cast Iron,Pastel,OBD,AC Clean,26554.0903183477,1
Mumbai,0.5147240740222958,34,14,5,Western Formal,Traditional,Pastel,None,Mobile Oil Change,36230.21634179341,1
Delhi,1.0498087729602037,34,4,10,Casual,Cast Iron,Monochrome,None,SOS,28390.12959187193,1
Pune,1.5016795385798425,53,12,6,Saree/Traditional,Cast Iron,Vibrant,OBD,AC Clean,47386.16236590214,1
Pune,0.983691469965666,38,2,8,Western Formal,Smart Electric Pan,Monochrome,Dashcam,None,19062.84047941261,1
Ahmedabad,2.680831309337896,25,5,3,Saree/Traditional,Traditional,Pastel,Dashcam,AC Clean,54027.56286702117,1
Delhi,0.3,22,2,9,Saree/Traditional,Smart Electric Pan,Vibrant,Dashcam,SOS,15164.940687593675,1
Bangalore,0.8715057858007136,43,9,1,Casual,Traditional,Vibrant,Battery Monitor,Mobile Oil Change,27074.320515393105,1
Mumbai,0.6373320996780537,33,11,4,Casual,Cast Iron,Pastel,OBD,SOS,27366.332819437335,1
Hyderabad,0.7797907155252279,53,5,9,Casual,Cast Iron,Vibrant,None,Mobile Oil Change,20123.55283485713,1
Mumbai,0.8142010659114729,45,3,8,Saree/Traditional,Traditional,Monochrome,Battery Monitor,AC Clean,21489.231474618704,1
Mumbai,0.40414758788460403,46,14,10,Western Formal,Smart Electric Pan,Pastel,Battery Monitor,AC Clean,35402.55993643363,1
Bangalore,1.6516212891435762,64,1,9,Casual,Traditional,Pastel,None,SOS,29090.995582908152,1
Mumbai,0.8717428215677392,29,7,1,Casual,Traditional,Pastel,OBD,None,32320.094223613753,0
Delhi,1.2981440013531929,54,3,9,Saree/Traditional,Cast Iron,Pastel,Battery Monitor,AC Clean,27088.90692422571,1
Delhi,0.9391045428538529,47,8,3,Western Formal,Smart Electric Pan,Vibrant,OBD,None,30249.067811750898,1
Pune,0.7854717526282742,40,6,10,Saree/Traditional,Traditional,Pastel,OBD,None,25999.159605177756,1
Ahmedabad,2.20336754165211,33,11,9,Casual,Smart Electric Pan,Pastel,OBD,SOS,62339.867230264776,1
Hyderabad,1.7537593093256447,31,1,1,Saree/Traditional,Smart Electric Pan,Vibrant,None,AC Clean,22537.38770800324,0
Mumbai,0.3,27,3,1,Casual,Traditional,Pastel,OBD,None,9370.270104086798,0
Mumbai,0.3,24,4,9,Western Formal,Smart Electric Pan,Vibrant,Battery Monitor,AC Clean,17142.766464282195,1
Bangalore,1.825565301381892,62,2,6,Saree/Traditional,Cast Iron,Vibrant,None,Mobile Oil Change,32716.314837244703,1
Ahmedabad,0.8880879650707476,69,8,4,Casual,Cast Iron,Pastel,None,None,25408.3216215199,1
Delhi,0.3,54,12,7,Casual,Cast Iron,Monochrome,Battery Monitor,SOS,29429.791101717186,1
Hyderabad,1.8274410795242044,46,4,5,Casual,Cast Iron,Pastel,None,SOS,31747.645574466907,1
Pune,1.301474430059454,20,1,10,Casual,Smart Electric Pan,Monochrome,Battery Monitor,None,27332.82097266709,1
Delhi,1.3509426508993918,32,10,7,Saree/Traditional,Cast Iron,Vibrant,Dashcam,AC Clean,39824.351006710785,1
Ahmedabad,1.6857235632035446,53,2,8,Casual,Traditional,Monochrome,Battery Monitor,Mobile Oil Change,30341.437573159837,1
